id_ligne;id_arret;stop_name;day_type;first_passage;last_passage;avg_passage_per_day;early birds;morning commute;late morning;lunch time;afternoon;evening commute;evening;night;amplitude_horaire;amplitude_horaire_heures;avg_passage_per_hour
0050;3302;Thorigné Mairie;weekday;0 days 06:38:00;1 days 02:04:00;39.4;2.0;7.0;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:00;19.433333333333334;2.0274442538593482
0050;3302;Thorigné Mairie;weekend;0 days 07:42:00;1 days 02:04:00;24.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;2.0;0 days 18:22:00;18.366666666666667;1.3339382940108893
0050;3304;Anne de Bretagne;weekday;0 days 06:37:00;1 days 02:03:10;39.4;2.0;7.0;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:10;19.43611111111111;2.0271544947834785
0050;3304;Anne de Bretagne;weekend;0 days 07:41:00;1 days 02:03:10;24.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;2.0;0 days 18:22:10;18.369444444444444;1.333736579464691
0050;3305;Bocage;weekday;0 days 06:05:59;0 days 21:21:00;40.0;3.0;8.0;4.0;4.0;7.0;10.0;4.0;0.0;0 days 15:15:01;15.250277777777777;2.6229030436604073
0050;3305;Bocage;weekend;0 days 07:10:39;0 days 21:21:00;23.5;0.0;6.0;3.0;3.0;5.5;6.0;3.0;0.0;0 days 14:10:21;14.1725;1.6581407655671194
0050;3306;Juteauderies;weekday;0 days 06:07:44;0 days 21:22:06;40.0;3.0;8.0;4.0;4.0;7.0;10.0;4.0;0.0;0 days 15:14:22;15.239444444444445;2.6247675987021983
0050;3306;Juteauderies;weekend;0 days 07:12:00;0 days 21:22:06;23.5;0.0;6.0;3.0;3.0;5.5;6.0;3.0;0.0;0 days 14:10:06;14.168333333333333;1.6586283966592166
0050;3307;Fouillard;weekday;0 days 06:10:00;0 days 21:24:00;40.0;2.0;8.0;4.0;4.0;8.0;10.0;4.0;0.0;0 days 15:14:00;15.233333333333333;2.6258205689277903
0050;3307;Fouillard;weekend;0 days 07:14:00;0 days 21:24:00;23.5;0.0;5.0;3.5;2.5;6.0;6.0;3.0;0.0;0 days 14:10:00;14.166666666666666;1.6588235294117648
