date;tranche_horaire;id_arret;nom_commune;id_ligne;sens;freq
2024-10-11;16:45:00;2025;Cesson-Sévigné;6;Retour;1.17647
2024-11-09;16:00:00;2050;Cesson-Sévigné;6;Aller;1.17647
2025-03-28;07:00:00;3851;Mordelles;155;Retour;12.94118
2025-08-30;09:00:00;2905;Chartres-de-Bretagne;72;Retour;2.35294
2025-02-20;10:30:00;3170;Pacé;77;Retour;1.17647
2025-02-03;08:45:00;2403;Betton;83;Retour;3.52941
2024-12-10;17:15:00;2319;Bruz;7;Retour;77.64706
2025-05-09;12:45:00;3009;Chantepie;13;Retour;1.17647
2024-09-21;10:45:00;3505;Montgermont;52;Aller;3.52941
2025-04-24;21:30:00;2901;Chartres-de-Bretagne;59;Retour;1.17647
2024-12-04;12:15:00;2809;Saint-Grégoire;1;Aller;2.35294
2024-09-30;07:15:00;2013;Cesson-Sévigné;6;Aller;9.41176
2024-12-24;08:30:00;3314;Thorigné-Fouillard;50;Aller;1.17647
2024-09-17;08:15:00;3024;Vern-sur-Seiche;62;Retour;2.35294
2024-12-17;09:00:00;2631;Vern-sur-Seiche;75;Aller;1.17647
2025-05-23;18:45:00;2289;Saint-Jacques-de-la-Lande;13;Retour;2.35294
2025-06-10;07:45:00;2404;Betton;51;Aller;7.05882
2025-01-29;07:30:00;5050;Cesson-Sévigné;1002;Indéterminé;295.55557
2025-02-11;20:15:00;2826;Saint-Grégoire;14;Retour;5.88235
2025-02-27;11:30:00;4401;Le Verger;55;Retour;8.23529
2025-05-06;07:15:00;4202;Chavagne;156;Retour;7.05882
2025-07-03;16:00:00;2147;Cesson-Sévigné;34;Retour;1.17647
2024-09-24;07:15:00;2009;Cesson-Sévigné;34;Retour;2.35294
2024-11-12;09:30:00;3032;Chantepie;1;Retour;2.35294
2025-07-22;07:00:00;2706;Noyal-Châtillon-sur-Seiche;61;Retour;2.35294
2024-10-14;07:30:00;3014;Chantepie;11;Aller;1.17647
2024-09-26;10:15:00;2411;Betton;51;Aller;2.35294
2025-01-27;09:45:00;2017;Cesson-Sévigné;6;Aller;4.70588
2024-09-10;11:45:00;4103;Corps-Nuds;73;Retour;4.70588
2025-01-15;12:30:00;2403;Betton;51;Aller;2.35294
2025-01-14;07:30:00;3322;Thorigné-Fouillard;50;Aller;10.58824
2024-09-20;13:45:00;2817;Saint-Grégoire;1;Aller;3.52941
2024-09-21;17:15:00;1453;Saint-Jacques-de-la-Lande;5;Retour;11.76471
2025-04-02;08:00:00;2307;Bruz;7;Retour;3.52941
2025-08-08;19:15:00;5064;Saint-Jacques-de-la-Lande;1002;Indéterminé;12.22222
2025-06-23;13:45:00;2816;Saint-Grégoire;1;Retour;1.17647
2024-12-26;15:30:00;2281;Saint-Jacques-de-la-Lande;7;Aller;15.29412
2024-09-09;06:00:00;2215;Saint-Jacques-de-la-Lande;6;Aller;1.17647
2025-08-28;10:45:00;2210;Saint-Jacques-de-la-Lande;13;Retour;3.52941
2024-10-22;09:45:00;2809;Saint-Grégoire;1;Aller;7.05882
2025-07-01;08:00:00;2507;Le Rheu;54;Retour;2.35294
2025-05-29;16:15:00;2505;Le Rheu;54;Retour;1.17647
2025-08-23;09:00:00;2812;Saint-Grégoire;1;Aller;1.17647
2024-09-13;13:00:00;2405;Betton;51;Aller;1.17647
2024-12-18;17:15:00;2314;Bruz;13;Retour;2.35294
2024-12-12;07:30:00;2017;Cesson-Sévigné;6;Aller;16.47059
2024-11-30;15:30:00;2206;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2025-05-09;10:15:00;2013;Cesson-Sévigné;6;Aller;1.17647
2025-02-24;17:45:00;2014;Cesson-Sévigné;6;Aller;7.05882
2025-03-21;08:00:00;3019;Chantepie;13;Aller;1.17647
2024-10-03;16:45:00;2060;Cesson-Sévigné;67;Aller;1.17647
2025-03-23;11:30:00;3006;Chantepie;1;Retour;2.35294
2025-07-18;13:30:00;3313;Thorigné-Fouillard;50;Retour;1.17647
2024-09-06;06:30:00;4671;Cintré;154;Retour;2.35294
2025-03-05;15:30:00;2815;Saint-Grégoire;14;Retour;3.52941
2025-03-25;13:45:00;3758;Vezin-le-Coquet;53;Retour;2.35294
2025-04-15;15:00:00;2008;Cesson-Sévigné;6;Aller;1.17647
2025-03-12;11:00:00;2151;Cesson-Sévigné;34;Retour;2.35294
2025-01-21;07:45:00;3260;Orgères;74;Retour;7.05882
2024-10-18;09:45:00;2603;Vern-sur-Seiche;73;Retour;4.70588
2024-11-25;06:45:00;2418;Betton;78;Aller;2.35294
2025-06-10;13:45:00;2131;Cesson-Sévigné;2;Aller;3.52941
2025-01-29;12:00:00;3506;Montgermont;68;Aller;3.52941
2025-05-12;07:15:00;2710;Noyal-Châtillon-sur-Seiche;61;Retour;5.88235
2025-08-20;13:30:00;2432;Betton;71;Aller;4.70588
2025-01-24;09:15:00;2307;Bruz;7;Retour;2.35294
2025-04-30;08:15:00;2510;Le Rheu;54;Retour;5.88235
2025-07-11;09:30:00;2050;Cesson-Sévigné;6;Aller;1.17647
2025-04-03;15:45:00;3313;Thorigné-Fouillard;50;Retour;1.17647
2025-04-12;20:30:00;5063;Saint-Jacques-de-la-Lande;1002;Indéterminé;13.33333
2025-05-30;11:15:00;2801;Saint-Grégoire;4;Retour;3.52941
2024-09-06;15:30:00;2401;Betton;83;Retour;1.17647
2025-04-23;10:15:00;2410;Betton;51;Aller;4.70588
