route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6-0073,gen-6d0d067280,00000027628,Saint-Armel - Corps-Nuds,,0,73-9.4416425,0073-A-1511-4112,1,0
6-0073,prog-00000000021,00000027629,Saint-Armel - Corps-Nuds,,0,73-9.4419578,0073-A-1511-4112,1,0
6-0073,gen-2840647534,00000027630,Saint-Armel - Corps-Nuds,,0,73-9.4416841,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027631,Saint-Armel - Corps-Nuds,,0,73-9.4417258,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027632,Saint-Armel - Corps-Nuds,,0,73-9.4419994,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027633,Saint-Armel - Corps-Nuds,,0,73-9.4418103,0073-A-1511-4112,1,0
6-0073,gen-480d4b2c2e,00000027867,Saint-Armel - Corps-Nuds,,0,75-1.4419218,0073-A-1511-4112,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16441725,Corps-Nuds,,0,7501,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438270,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438270,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438270,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438270,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438270,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16441725,Corps-Nuds,,0,7501,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438270,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,gen-480d4b2c2e,00000027869,Saint-Armel - Corps-Nuds,,0,75-3.4419229,0073-A-1511-4112,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16441727,Corps-Nuds,,0,7503,0073-A-1511-4112,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16441727,Corps-Nuds,,0,7503,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027781,Saint-Armel - Corps-Nuds,,0,73-5.4417558,0073-A-1511-4112,1,0
6-0073,gen-6d0d067280,00000027782,Saint-Armel - Corps-Nuds,,0,73-5.4416304,0073-A-1511-4112,1,0
6-0073,prog-00000000021,00000027783,Saint-Armel - Corps-Nuds,,0,73-5.4419457,0073-A-1511-4112,1,0
6-0073,gen-2840647534,00000027784,Saint-Armel - Corps-Nuds,,0,73-5.4416720,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027785,Saint-Armel - Corps-Nuds,,0,73-5.4417137,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027786,Saint-Armel - Corps-Nuds,,0,73-5.4419873,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027787,Saint-Armel - Corps-Nuds,,0,73-5.4417982,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438292,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438292,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438292,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438292,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438292,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438292,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027767,Saint-Armel - Corps-Nuds,,0,73-7.4417682,0073-A-1511-4112,1,0
6-0073,gen-6d0d067280,00000027768,Saint-Armel - Corps-Nuds,,0,73-7.4416428,0073-A-1511-4112,1,0
6-0073,prog-00000000021,00000027769,Saint-Armel - Corps-Nuds,,0,73-7.4419581,0073-A-1511-4112,1,0
6-0073,gen-2840647534,00000027770,Saint-Armel - Corps-Nuds,,0,73-7.4416844,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027771,Saint-Armel - Corps-Nuds,,0,73-7.4417260,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027772,Saint-Armel - Corps-Nuds,,0,73-7.4419996,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027773,Saint-Armel - Corps-Nuds,,0,73-7.4418106,0073-A-1511-4112,1,0
6-0073,gen-480d4b2c2e,00000027871,Saint-Armel - Corps-Nuds,,0,73-1.4419227,0073-A-1511-4112,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16441729,Corps-Nuds,,0,7301,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438290,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438290,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438290,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438290,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438290,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16441729,Corps-Nuds,,0,7301,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438290,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027459,Rennes La Poterie,,1,73-1.4417678,0073-B-4112-1511,1,0
6-0073,gen-6d0d067280,00000027460,Rennes La Poterie,,1,73-1.4416424,0073-B-4112-1511,1,0
6-0073,prog-00000000021,00000027461,Rennes La Poterie,,1,73-1.4419577,0073-B-4112-1511,1,0
6-0073,gen-2840647534,00000027462,Rennes La Poterie,,1,73-1.4416840,0073-B-4112-1511,1,0
6-0073,gen-1b7619186a,00000027463,Rennes La Poterie,,1,73-1.4417257,0073-B-4112-1511,1,0
6-0073,prog-00000000027,00000027464,Rennes La Poterie,,1,73-1.4419993,0073-B-4112-1511,1,0
6-0073,gen-567e7c5e15,00000027465,Rennes La Poterie,,1,73-1.4418102,0073-B-4112-1511,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438246,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438246,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438246,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_MARDI,12_MARDI-16438246,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438246,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438246,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,gen-4a1c0e4b2e,00000027466,Rennes La Poterie,,1,73-2.4417549,0073-B-4112-1511,1,0
6-0073,gen-6d0d067280,00000027467,Rennes La Poterie,,1,73-2.4416295,0073-B-4112-1511,1,0
6-0073,prog-00000000021,00000027468,Rennes La Poterie,,1,73-2.4419448,0073-B-4112-1511,1,0
6-0073,gen-2840647534,00000027469,Rennes La Poterie,,1,73-2.4416711,0073-B-4112-1511,1,0
6-0073,gen-1b7619186a,00000027470,Rennes La Poterie,,1,73-2.4417128,0073-B-4112-1511,1,0
6-0073,prog-00000000027,00000027471,Rennes La Poterie,,1,73-2.4419864,0073-B-4112-1511,1,0
6-0073,gen-567e7c5e15,00000027472,Rennes La Poterie,,1,73-2.4417973,0073-B-4112-1511,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438247,Rennes La Poterie,,1,7302,0073-B-4112-1511,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438247,Rennes La Poterie,,1,7302,0073-B-4112-1511,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438247,Rennes La Poterie,,1,7302,0073-B-4112-1511,1,0
6-0073,expl-12_MARDI,12_MARDI-16438247,Rennes La Poterie,,1,7302,0073-B-4112-1511,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438247,Rennes La Poterie,,1,7302,0073-B-4112-1511,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438247,Rennes La Poterie,,1,7302,0073-B-4112-1511,1,0
6-0073,gen-4a1c0e4b2e,00000027634,Rennes La Poterie,,1,73-3.4417553,0073-B-4112-1511,1,0
6-0073,gen-6d0d067280,00000027635,Rennes La Poterie,,1,73-3.4416299,0073-B-4112-1511,1,0
6-0073,prog-00000000021,00000027636,Rennes La Poterie,,1,73-3.4419452,0073-B-4112-1511,1,0
6-0073,gen-2840647534,00000027637,Rennes La Poterie,,1,73-3.4416715,0073-B-4112-1511,1,0
6-0073,gen-1b7619186a,00000027638,Rennes La Poterie,,1,73-3.4417132,0073-B-4112-1511,1,0
6-0073,prog-00000000027,00000027639,Rennes La Poterie,,1,73-3.4419868,0073-B-4112-1511,1,0
6-0073,gen-567e7c5e15,00000027640,Rennes La Poterie,,1,73-3.4417977,0073-B-4112-1511,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438271,Rennes La Poterie,,1,7303,0073-B-4112-1511,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438271,Rennes La Poterie,,1,7303,0073-B-4112-1511,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438271,Rennes La Poterie,,1,7303,0073-B-4112-1511,1,0
6-0073,expl-12_MARDI,12_MARDI-16438271,Rennes La Poterie,,1,7303,0073-B-4112-1511,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438271,Rennes La Poterie,,1,7303,0073-B-4112-1511,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438271,Rennes La Poterie,,1,7303,0073-B-4112-1511,1,0
6-0073,gen-480d4b2c2e,00000027844,Rennes La Poterie,,1,62-1.4419250,0073-B-4112-1511,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16438302,Rennes La Poterie,,1,6201,0073-B-4112-1511,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16438302,Rennes La Poterie,,1,6201,0073-B-4112-1511,1,0
6-0073,gen-4a1c0e4b2e,00000027641,Rennes La Poterie,,1,73-1.4417678,0073-B-4112-1511,1,0
6-0073,gen-6d0d067280,00000027642,Rennes La Poterie,,1,73-1.4416424,0073-B-4112-1511,1,0
6-0073,prog-00000000021,00000027643,Rennes La Poterie,,1,73-1.4419577,0073-B-4112-1511,1,0
6-0073,gen-2840647534,00000027644,Rennes La Poterie,,1,73-1.4416840,0073-B-4112-1511,1,0
6-0073,gen-1b7619186a,00000027645,Rennes La Poterie,,1,73-1.4417257,0073-B-4112-1511,1,0
6-0073,prog-00000000027,00000027646,Rennes La Poterie,,1,73-1.4419993,0073-B-4112-1511,1,0
6-0073,gen-567e7c5e15,00000027647,Rennes La Poterie,,1,73-1.4418102,0073-B-4112-1511,1,0
6-0073,gen-4a1c0e4b2e,00000027825,Rennes La Poterie,,1,73-4.4417557,0073-B-4551-1511,1,0
6-0073,gen-6d0d067280,00000027826,Rennes La Poterie,,1,73-4.4416303,0073-B-4551-1511,1,0
6-0073,prog-00000000021,00000027827,Rennes La Poterie,,1,73-4.4419456,0073-B-4551-1511,1,0
6-0073,gen-2840647534,00000027828,Rennes La Poterie,,1,73-4.4416719,0073-B-4551-1511,1,0
6-0073,gen-1b7619186a,00000027829,Rennes La Poterie,,1,73-4.4417136,0073-B-4551-1511,1,0
6-0073,prog-00000000027,00000027830,Rennes La Poterie,,1,73-4.4419872,0073-B-4551-1511,1,0
6-0073,gen-567e7c5e15,00000027831,Rennes La Poterie,,1,73-4.4417981,0073-B-4551-1511,1,0
