date_mesure,geocode_commune,libelle_commune,valeur
2011-01-01T00:00:00.000,60509,Pont-Sainte-Maxence,0.8252568655975706
2016-01-01T00:00:00.000,04007,Angles,0.9166666666666653
2016-01-01T00:00:00.000,80600,Noyelles-sur-Mer,0.8870265568374565
2022-01-01T00:00:00.000,39085,Cerniébaud,0.9249999999999986
2011-01-01T00:00:00.000,58154,La Maison-Dieu,0.8484848484848483
2022-01-01T00:00:00.000,56253,Tréal,0.9540969721068954
2011-01-01T00:00:00.000,38304,Pierre-Châtel,0.9108589951377627
2022-01-01T00:00:00.000,55124,Consenvoye,0.8848837444292207
2016-01-01T00:00:00.000,39333,Moirans-en-Montagne,0.8489662210051717
2016-01-01T00:00:00.000,64205,Escos,0.8454545454545455
2022-01-01T00:00:00.000,59445,Ohain,0.9115005129016738
2011-01-01T00:00:00.000,06086,Moulinet,0.7712221839246856
2011-01-01T00:00:00.000,61302,Neauphe-sur-Dive,0.9298245614035078
2011-01-01T00:00:00.000,71230,Gueugnon,0.8328199383926072
2016-01-01T00:00:00.000,19110,Latronche,0.9180327868852459
2011-01-01T00:00:00.000,55267,Lachaussée,0.8292682926829246
2016-01-01T00:00:00.000,14146,Cauville,0.8923076923076932
2011-01-01T00:00:00.000,71573,Versaugues,0.9775280898876404
2016-01-01T00:00:00.000,79091,Cirières,0.9577836411609497
2016-01-01T00:00:00.000,17460,Varzay,0.9643864813347494
2011-01-01T00:00:00.000,29196,Plouguin,0.951865222623345
2022-01-01T00:00:00.000,35275,Saint-Gilles,0.9438736406856453
2011-01-01T00:00:00.000,16374,Soyaux,0.7907760282951471
2011-01-01T00:00:00.000,40150,Léon,0.9216738197424894
2011-01-01T00:00:00.000,77522,Villiers-sur-Seine,0.8760330578512396
2022-01-01T00:00:00.000,76216,Déville-lès-Rouen,0.7619911031913957
2011-01-01T00:00:00.000,07010,Annonay,0.790131696269364
2016-01-01T00:00:00.000,12232,Saint-Jean-et-Saint-Paul,0.9391304347826087
2011-01-01T00:00:00.000,57726,Vittoncourt,0.9220779220779222
2011-01-01T00:00:00.000,54212,Fresnois-la-Montagne,0.9312499999999988
2016-01-01T00:00:00.000,70215,Errevet,0.9724770642201795
2011-01-01T00:00:00.000,55335,Ménil-sur-Saulx,0.8787878787878783
2011-01-01T00:00:00.000,21075,Billy-lès-Chanceaux,0.8823529411764697
2022-01-01T00:00:00.000,11079,Caudebronde,0.9239130434782602
2011-01-01T00:00:00.000,62519,Lisbourg,0.8607594936708871
2016-01-01T00:00:00.000,18088,Ennordres,0.9708737864077712
2022-01-01T00:00:00.000,35196,Mordelles,0.8986760335044582
2011-01-01T00:00:00.000,24076,Campagne,0.9320987654321015
2022-01-01T00:00:00.000,32068,Cadeilhan,0.9830508474576265
2011-01-01T00:00:00.000,01400,Seillonnaz,0.9402985074626867
2016-01-01T00:00:00.000,17097,Le Chay,0.9510703363914373
2011-01-01T00:00:00.000,80186,Chaulnes,0.8310387984981226
2016-01-01T00:00:00.000,35148,Lanrigan,0.909090909090909
2022-01-01T00:00:00.000,79132,Genneton,0.9241923521676757
2011-01-01T00:00:00.000,01227,Magnieu,0.9174329670068063
2022-01-01T00:00:00.000,09223,Oust,0.9431629199421934
2022-01-01T00:00:00.000,35127,Guignen,0.9551750419046087
2022-01-01T00:00:00.000,44047,Couëron,0.9128132365170881
2022-01-01T00:00:00.000,41199,Saint-Amand-Longpré,0.9213622063771966
2016-01-01T00:00:00.000,38034,Beaurepaire,0.8347659980897812
2011-01-01T00:00:00.000,59544,Saint-Saulve,0.8556563601438296
2022-01-01T00:00:00.000,54369,Millery,0.9425287356321839
2011-01-01T00:00:00.000,41030,Cellé,0.910714285714284
2022-01-01T00:00:00.000,32423,Séailles,0.9642857142857169
2011-01-01T00:00:00.000,65080,Bénac,0.9306930693069307
2016-01-01T00:00:00.000,50546,Bourgvallées,0.9644460518727735
2016-01-01T00:00:00.000,76160,Carville-la-Folletière,0.9530201342281841
2022-01-01T00:00:00.000,52344,Mouilleron,0.6428571428571427
