Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier;Visibilité;Stopid gtfs/gtfs-rt
1651;2023-08-01;;Oui;1651;Jacques Cartier;35238;Rennes;48.09711, -1.675159;false;Poteau;Grand public;6-1651
1658;2002-03-03;;Oui;1658;Italie;35238;Rennes;48.0865, -1.667379;true;Poteau;Grand public;6-1658
1677;2018-09-03;;Oui;1677;Mandela;35238;Rennes;48.134826, -1.698777;true;Abri simple;Grand public;6-1677
1682;2018-09-03;;Oui;1682;Normandie;35238;Rennes;48.123628, -1.709222;true;Abri simple;Grand public;6-1682
1683;2025-02-03;;Oui;1683;Turmel;35238;Rennes;48.121654, -1.651081;true;Abri simple;Grand public;6-1683
1703;2024-09-02;;Oui;1703;TNB;35238;Rennes;48.1085, -1.673787;true;Abri simple;Grand public;6-1703
1704;2024-09-02;;Oui;1704;Sévigné;35238;Rennes;48.115932, -1.674138;true;Abri simple;Grand public;6-1704
1708;2024-07-08;;Oui;1708;Gros-Chêne;35238;Rennes;48.125586, -1.664811;true;Abri simple;Grand public;6-1708
1709;2024-07-08;;Oui;1709;Gros-Chêne;35238;Rennes;48.125175, -1.663499;true;Abri simple;Grand public;6-1709
1710;2023-08-01;;Oui;1710;Joliot-Curie - Chateaubriand;35238;Rennes;48.124569, -1.651539;true;Abri double;Grand public;6-1710
1721;2024-07-08;;Oui;1721;Gares;35238;Rennes;48.104047, -1.673261;true;Abri simple;Grand public;6-1721
1724;2025-09-01;;Oui;1724;Les Gayeulles;35238;Rennes;48.129673, -1.656719;true;Abri simple;Grand public;6-1724
1727;2022-10-24;;Oui;1727;Alma Sud;35238;Rennes;48.08294, -1.682332;true;Abri simple;Grand public;6-1727
1736;2022-10-24;;Oui;1736;Leray;35238;Rennes;48.095662, -1.661936;true;Abri simple;Grand public;6-1736
1737;2022-10-24;;Oui;1737;Joliot-Curie;35238;Rennes;48.126475, -1.651929;true;Abri simple;Grand public;6-1737
1738;2022-10-24;;Oui;1738;Joliot-Curie;35238;Rennes;48.126064, -1.651999;true;Poteau;Grand public;6-1738
1741;2025-09-01;;Oui;1741;Olivier de Serres;35238;Rennes;48.128016, -1.686918;false;Abri simple;Grand public;6-1741
1754;2022-10-28;;Oui;1754;Monnaie;35238;Rennes;48.112402, -1.681581;true;Poteau;Grand public;6-1754
1755;2022-10-28;;Oui;1755;Place St-Sauveur;35238;Rennes;48.111773, -1.681074;true;Poteau;Grand public;6-1755
1758;2024-07-08;;Oui;1758;Durafour Leclerc;35238;Rennes;48.114701, -1.655552;true;Abri simple;Grand public;6-1758
1761;2024-07-08;;Oui;1761;Monnerville;35238;Rennes;48.107494, -1.649488;true;Abri simple;Grand public;6-1761
1763;2024-07-08;;Oui;1763;Semprún;35238;Rennes;48.109746, -1.645759;true;Abri simple;Grand public;6-1763
